series,name,freq,block_g,block_s,block_r,block_l,months_lag
TRAN_CAR_MR,Transporte de Carga Marítima Miles de Toneladas Métricas,m,1,1,0,0,1
ISSS_PRIM,Cotizantes ISSS sector primario empleados y empleadoresAgriculturacazasilvicultura y pesca,m,1,1,0,0,1
ISSS_SEC,Cotizantes ISSS sector secundario empleados y empleadoresIndustrias manufacturerasExplotación de minas y canteras y Otras actividades Industriales Construcción,m,1,1,0,0,1
ISSS_TER,Cotizantes ISSS sector terciario empleados y empleadoresComerciorestaurantes y hotelesTransportealmacen.Activ de Alojamiento y Servicios de Comida Información y ComunicacionesActividades Financieras y de Seguros Actividades InmobiliariasActividades Profesionales Cientificas Técnicas y de Servicios Admon. de ApoyoServiciosServicio DomésticoActividades no bien especificadas total sector publico,m,1,1,0,0,1
ENT_PAS,Entrada de Pasajeros Número de Personas,m,1,0,1,0,1
SAL_PAS,Salida de Pasajeros Número de Personas,m,1,0,1,0,1
EXP_CO,Exportaciones Café Oro y otros cafés no procesados,m,1,0,1,0,1
EXP_AG,Exportaciones Agricultura ganadería silvicultura y pescaResto de productos,m,1,0,1,0,1
EXP_MC,Exportaciones Explotación de minas y cantera,m,1,0,1,0,1
EXP_AC,Exportaciones Azúcar de caña y demás azúcares,m,1,0,1,0,1
EXP_CP,Exportaciones Café procesado,m,1,0,1,0,1
EXP_IM,Exportaciones Industrias manufacturerasResto de productos,m,1,0,1,0,1
EXP_SE,Exportaciones Suministro de electricidad gas vapor y aire acondicionado,m,1,0,1,0,1
EXP_CM,Exportaciones Comercio al por mayor y al por menor reparación de vehículos automotores y motocicletas,m,1,0,1,0,1
EXP_MO,Exportaciones  Maquila de Otros Productos,m,1,0,1,0,1
EXP_MP,Exportaciones Maquila de Prendas de Vestir de Punto,m,1,0,1,0,1
EXP_MT,Exportaciones Maquila de Productos Textiles,m,1,0,1,0,1
IMP_CO,Importaciones Café Oro y otros cafés no procesados,m,1,0,1,0,1
IMP_AG,Importaciones Agricultura ganadería silvicultura y pescaResto de productos,m,1,0,1,0,1
IMP_MC,Importaciones Explotación de minas y cantera,m,1,0,1,0,1
IMP_AC,Importaciones Azúcar de caña y demás azúcares,m,1,0,1,0,1
IMP_CP,Importaciones Café procesado,m,1,0,1,0,1
IMP_IM,Importaciones Industrias manufacturerasResto de productos,m,1,0,1,0,1
IMP_SE,Importaciones Suministro de electricidad gas vapor y aire acondicionado,m,1,0,1,0,1
IMP_CM,Importaciones Comercio al por mayor y al por menor reparación de vehículos automotores y motocicletas,m,1,0,1,0,1
IMP_MO,Importaciones  Maquila de Otros Productos,m,1,0,1,0,1
IMP_MP,Importaciones Maquila de Prendas de Vestir de Punto,m,1,0,1,0,1
IMP_MT,Importaciones Maquila de Productos Textiles,m,1,0,1,0,1
IMP_D_BN,Importaciones detalladas Bienes de consumo no duraderos,m,1,0,1,0,1
IMP_D_BD,Importaciones detalladas Bienes de consumo duraderos,m,1,0,1,0,1
IMP_D_IM,Importaciones detalladas Bienes intermedios Industria Manufacturera,m,1,0,1,0,1
IMP_D_BA,Importaciones detalladas Bienes intermedios  Agropecuario,m,1,0,1,0,1
IMP_D_BC,Importaciones detalladas Bienes intermedios Construcción,m,1,0,1,0,1
IMP_D_BO,Importaciones detalladas Bienes intermedios Otros,m,1,0,1,0,1
IMP_D_BM,Importaciones detalladas Bienes de capital Industria Manufacturera,m,1,0,1,0,1
IMP_D_BT,Importaciones detalladas Bienes de capital Transporte y Comunicación,m,1,0,1,0,1
IMP_D_BCA,Importaciones detalladas Bienes de capital Agropecuario,m,1,0,1,0,1
IMP_D_BCC,Importaciones detalladas Bienes de capital Construcción,m,1,0,1,0,1
IMP_D_BIC,Importaciones detalladas Bienes de capital Comercio,m,1,0,1,0,1
IMP_D_BCS,Importaciones detalladas Bienes de capital Servicios,m,1,0,1,0,1
IMP_D_BE,Importaciones detalladas Bienes de capital Electricidad Agua y Servicios,m,1,0,1,0,1
IMP_D_BCB,Importaciones detalladas Bienes de capital Banca,m,1,0,1,0,1
IMP_D_MA,Importaciones detalladas Maquila,m,1,0,1,0,1
REM,Remesas,m,1,0,1,0,1
UNEM_US,Unemployment Rate US Percent Monthly Seasonally Adjusted,m,1,0,1,0,1
UNEM_US_LA,Unemployment Rate  Hispanic or Latino Percent Monthly Seasonally Adjusted,m,1,0,1,0,1
EFFR_US,Effective Federal Funds Rate Percent Monthly Not Seasonally Adjusted,m,1,0,1,0,0
IPI_US,Industrial Production Index Index 2017100 Monthly Seasonally Adjusted,m,1,0,1,0,1
IPM_US,Industrial Production Manufacturing NAICS Index 2017100 Monthly Seasonally Adjusted,m,1,0,1,0,1
MTB_6,6Month Treasury Bill Secondary Market Rate Percent Monthly Not Seasonally Adjusted,m,1,0,1,0,0
INGT_ISR,Ingresos tributarios SPNF Impuesto Sobre la Renta Neto,m,1,0,0,1,1
INGT_TRP,Ingresos tributarios SPNF Transferencia de Propiedades,m,1,0,0,1,1
INGT_IMP,Ingresos tributarios SPNF Importaciones,m,1,0,0,1,1
INGT_COP,Ingresos tributarios SPNF Consumo de Productos,m,1,0,0,1,1
INGT_IVA,Ingresos tributarios SPNF Impuesto al Valor Agregado IVA neto,m,1,0,0,1,1
INGT_OTR,Ingresos tributarios SPNF Otros,m,1,0,0,1,1
INGT_FOV,Ingresos tributarios SPNF Contribuciones Especiales FOVIAL,m,1,0,0,1,1
INGC_CSS,Ingresos corrientes SPNF  Contribuciones a la Seguridad Social,m,1,0,0,1,1
INGC_NOT,Ingresos corrientes SNPF No Tributarios,m,1,0,0,1,1
INGC_SEM,Ingresos corrientes SPNF Superávit de Operación de Empresas Públicas,m,1,0,0,1,1
INGC_TRP,Ingresos corrientes SPNF Transferencias de Financieras Públicas,m,1,0,0,1,1
GPC,Gasto publico de consumo SPF,m,1,0,0,1,1
GIP,Inversion publica SPNF,m,1,0,0,1,1
BFG,Balance fiscal global excluyendo donaciones SPNF,m,1,0,0,1,1
M3,M3,m,1,0,0,1,1
CTC,Credito de consumo tarjetas de credito,m,1,0,0,1,1
CCO,Credito de consumo otros,m,1,0,0,1,1
CCV,Credito para vivienda,m,1,0,0,1,1
CAG,Credito para  Agricultura ganadería silvicultura caza y pesca,m,1,0,0,1,1
CCON,Credito para construccion,m,1,0,0,1,1
CPI,Credito para industria,m,1,0,0,1,1
CCR,Credito para Comercio restaurantes y hoteles,m,1,0,0,1,1
CTA,Credito para Transporte  almacenamiento y comunicaciones,m,1,0,0,1,1
COS,Credito para Otros servicios,m,1,0,0,1,1
COPN,Credito Otros préstamos no clasificados,m,1,0,0,1,1
TIP_30,Tasa de interes pasiva 30 dias,m,1,0,0,1,1
TIP_180,Tasa de interes pasiva 180 dias,m,1,0,0,1,1
TPR1,Tasa de prestamos a un ano,m,1,0,0,1,1
